"citation.ID","citation.doi","citation.author","citation.year","citation.title","NEW_RECORD"
"Jaramillo_2003_rbac","NAC","Jaramillo",2003,"Root biomass and carbon in a tropical evergreen forest of Mexico: changes with secondary succession and forest conversion to pasture",TRUE
"Litton_2003_baab","NAC","Litton",2003,"Belowground and aboveground biomass in young postfire lodgepole pine forests of contrasting tree density",TRUE
"Schroth_2002_cosf","NAC","Schroth",2002,"Conversion of secondary forest into agroforestry and monoculture plantations in Amazonia: consequences for biomass, litter and soil carbon stocks after 7 years",TRUE
"Manlay_2002_cnap","NAC","Manlay",2002,"Carbon, nitrogen and phosphorus allocation in agro-ecosystems of a West African savanna I. The plant component under semi-permanent cultivation",TRUE
"Kennard_2002_sfsi","NAC","Kennard",2002,"Secondary forest succession in a tropical dry forest: patterns of development across a 50-year chronosequence in lowland Bolivia",TRUE
"Simard_2001_ioch","NAC","Simard",2001,"Impacts of clearcut harvesting and wildfire on soil nutrient status in the Quebec boreal forest",TRUE
"Aide_2000_fria","NAC","Aide",2000,"Forest regeneration in a chronosequence of tropical abandoned pastures: Implications for restoration ecology",TRUE
"Salimon_2000_sfiw","NAC","Salimon",2000,"Secondary forests in western Amazonia: Significant sinks for carbon released from deforestation?",TRUE
"Kotto-Same_1997_cdis","NAC","Kotto-Same",1997,"Carbon dynamics in slash-and-burn agriculture and land use alternatives of the humid forest zone in Cameroon",TRUE
"AIDE_1995_fria","NAC","AIDE",1995,"FOREST RECOVERY IN ABANDONED TROPICAL PASTURES IN PUERTO-RICO",TRUE
"USOLTSEV_1995_sbdo","NAC","USOLTSEV",1995,"STAND BIOMASS DYNAMICS OF PINE PLANTATIONS AND NATURAL FORESTS ON DRY STEPPE IN KAZAKHSTAN",TRUE
"CROWELL_1994_vdia","NAC","CROWELL",1994,"VEGETATION DEVELOPMENT IN A HARDWOOD-FOREST CHRONOSEQUENCE IN NOVA-SCOTIA",TRUE
"MOU_1993_eosd","NAC","MOU",1993,"EFFECTS OF SOIL DISTURBANCE ON VEGETATION RECOVERY AND NUTRIENT ACCUMULATION FOLLOWING WHOLE-TREE HARVEST OF A NORTHERN HARDWOOD ECOSYSTEM",TRUE
"REINERS_1992_yoer","NAC","REINERS",1992,"20 YEARS OF ECOSYSTEM REORGANIZATION FOLLOWING EXPERIMENTAL DEFORESTATION AND REGROWTH SUPPRESSION",TRUE
"JOHANSSON_1992_roca","NAC","JOHANSSON",1992,"REGENERATION OF CLEARED ACACIA-ZANZIBARICA BUSHLAND IN KENYA",TRUE
"Junqueira_2010_sfoa","NAC","Junqueira",2010,"Secondary forests on anthropogenic soils conserve agrobiodiversity",TRUE
"Cabral_2013_eeeb","NAC","Cabral",2013,"Estrutura espacial e biomassa da parte aérea em diferentes estádios successionais de caatinga, em Santa Terezinha, Paraíba.",TRUE
"van Breugel_2006_cdde","NAC","van Breugel",2006,"Community dynamics during early secondary succession in Mexican tropical rain forests",TRUE
"van Breugel_2013_soes","NAC","van Breugel",2013,"Succession of ephemeral secondary forests and their limited role for the conservation of floristic diversity in a human-modified tropical landscape",TRUE
"Denslow_2000_viss","NAC","Denslow",2000,"Variation in stand structure, light and seedling abundance across a tropical moist forest chronosequence, Panama",TRUE
"Dupuy_2012_paco","NAC","Dupuy",2012,"Patterns and correlates of tropical dry forest structure and composition in a highly replicated chronosequence in Yucatan, Mexico",TRUE
"Madeira_2009_cita","NAC","Madeira",2009,"Changes in tree and liana communities along a successional gradient in a tropical dry forest in south-eastern Brazil",TRUE
"Naughton-Treves_2001_fraf","NAC","Naughton-Treves",2001,"Fuelwood resources and forest regeneration on Fallow Land in Uganda",TRUE
"Toledo_2006_ssai","NAC","Toledo",2006,"Secondary succession and indigenous management in semideciduous forest fallows of the Amazon basin",TRUE
"McMahon_2010_efar","NAC","McMahon",2010,"Evidence for a recent increase in forest growth",TRUE
"Frouz_2008_ibsd","NAC","Frouz",2008,"Interactions between soil development, vegetation and soil fauna during spontaneous succession in post mining sites",TRUE
"Chazdon_2005_eoca","NAC","Chazdon",2005,"Effects of climate and stand age on annual tree dynamics in tropical second growth rain forests",TRUE
"Bartholomew_1953_mniu","NAC","Bartholomew",1953,"Mineral nutrient immobilization under forest and grass fallow in the Yangambi (Belgian Congo) region with some preliminary results on the decomposition of plant material on the forest floor",TRUE
"Gilroy_2014_ccab","NAC","Gilroy",2014,"Cheap carbon and biodiversity co-benefits from forest regeneration in a hotspot of endemism",TRUE
"Guo_2014_part","NAC","Guo",2014,"Productivity as related to diversity and age in planted versus natural forests",TRUE
"Moran_2000_eosf","NAC","Moran",2000,"Effects of soil fertility and land-use on forest succession in Amazonia",TRUE
"Roth_1994_laop","NAC","Roth",1994,"Large-vertebrate assemblages of primary and secondary forests in the Brazilian Amazon",TRUE
"Toma_2005_lmop","NAC","Toma",2005,"Long-term monitoring of post-fire aboveground biomass recovery in a lowland dipterocarp forest in East Kalimantan, Indonesia",TRUE
"Ewel_1983_bafo","NAC","Ewel",1983,"Biomass and floristics of three young second-growth forests in Sarawak.",TRUE
"Krankina _1999_nbfs","NAC","Krankina ",1999,"NPP Boreal Forest: Siberian Scots Pine Forests, Russia, 1968-1974.",TRUE
"Li_1995_sobo","NAC","Li",1995,"Study on biomass of tropical mountain rain forest in Jianfengling, Hainan Island",TRUE
